k          Xk          fk    signWnoise
0           0         0.5      0.371379
1   0.0314159    0.531411      0.747892
2   0.0628319    0.562791      0.375867
3   0.0942478    0.594108       0.46713
4    0.125664    0.625333      0.669306
5     0.15708    0.656434      0.543652
6    0.188496    0.687381      0.477493
7    0.219911    0.718143      0.802677
8    0.251327     0.74869      0.678907
9    0.282743    0.778991      0.737475
10    0.314159    0.809017      0.975912
11    0.345575    0.838738       1.01224
12    0.376991    0.868125       0.79894
13    0.408407    0.897148      0.826552
14    0.439823    0.925779       1.10756
15    0.471239     0.95399      0.836249
16    0.502655    0.981754      0.994925
17    0.534071     1.00904       1.07003
18    0.565487     1.03583      0.879826
19    0.596903     1.06208       0.92268
20    0.628319     1.08779       1.26303
21    0.659734     1.11291       1.08163
22     0.69115     1.13742       1.36626
23    0.722566     1.16131       1.21065
24    0.753982     1.18455       1.37068
25    0.785398     1.20711       1.25939
26    0.816814     1.22897       1.29581
27     0.84823     1.25011       1.04868
28    0.879646     1.27051       1.26787
29    0.911062     1.29016       1.47708
30    0.942478     1.30902       1.50158
31    0.973894     1.32708        1.3889
32     1.00531     1.34433       1.35002
33     1.03673     1.36074       1.59043
34     1.06814     1.37631       1.56877
35     1.09956     1.39101       1.40891
36     1.13097     1.40483       1.25166
37     1.16239     1.41775       1.39701
38     1.19381     1.42978       1.36814
39     1.22522     1.44088       1.68416
40     1.25664     1.45106          1.46
41     1.28805     1.46029       1.22267
42     1.31947     1.46858        1.3924
43     1.35088     1.47592       1.63217
44      1.3823     1.48229       1.33915
45     1.41372     1.48769       1.30868
46     1.44513     1.49211       1.53684
47     1.47655     1.49556        1.2864
48     1.50796     1.49803       1.26883
49     1.53938     1.49951       1.43086
50      1.5708         1.5       1.30389
51     1.60221     1.49951       1.39757
52     1.63363     1.49803       1.47064
53     1.66504     1.49556       1.45335
54     1.69646     1.49211       1.37874
55     1.72788     1.48769       1.40861
56     1.75929     1.48229       1.39396
57     1.79071     1.47592       1.43074
58     1.82212     1.46858        1.6593
59     1.85354     1.46029       1.64252
60     1.88496     1.45106       1.68977
61     1.91637     1.44088       1.44764
62     1.94779     1.42978       1.38391
63      1.9792     1.41775       1.61797
64     2.01062     1.40483       1.58452
65     2.04204     1.39101       1.22707
66     2.07345     1.37631       1.31008
67     2.10487     1.36074       1.39056
68     2.13628     1.34433       1.38128
69      2.1677     1.32708       1.20063
70     2.19911     1.30902       1.16345
71     2.23053     1.29016       1.14155
72     2.26195     1.27051       1.12922
73     2.29336     1.25011       1.03375
74     2.32478     1.22897       1.22112
75     2.35619     1.20711       1.44696
76     2.38761     1.18455       1.22205
77     2.41903     1.16131       1.40204
78     2.45044     1.13742       0.94224
79     2.48186     1.11291        1.0916
80     2.51327     1.08779      0.946053
81     2.54469     1.06208       1.12093
82     2.57611     1.03583        1.2315
83     2.60752     1.00904      0.845197
84     2.63894    0.981754       1.10702
85     2.67035     0.95399       1.19757
86     2.70177    0.925779      0.893243
87     2.73319    0.897148       1.11539
88      2.7646    0.868125      0.898687
89     2.79602    0.838738       1.02831
90     2.82743    0.809017      0.612036
91     2.85885    0.778991      0.860018
92     2.89027     0.74869      0.808017
93     2.92168    0.718143      0.836842
94      2.9531    0.687381      0.781941
95     2.98451    0.656434       0.83341
96     3.01593    0.625333      0.804603
97     3.04734    0.594108      0.376595
98     3.07876    0.562791      0.343921
99     3.11018    0.531411      0.488952
100     3.14159         0.5      0.690487
