ly           |J           |dist                   |alph                   |W                |d
0           |        0.21|     17.3675           |[0.1,0.8,0.1]|     17.1603|    0.207243
0           |        0.21|      17.368           |[0.102,0.796,0.102]|     17.1603|    0.207243
0.1           |        1.82|     14.4195           |[0.3,0.41,0.3]|      13.949|    0.470421
0.1           |        1.82|      14.419           |[0.296,0.408,0.296]|      13.949|    0.470421
0.2           |        3.17|     14.3707           |[0.31,0.39,0.31]|     13.8764|    0.494352
0.2           |        3.17|      14.371           |[0.307,0.386,0.307]|     13.8764|    0.494352
0.3           |        4.52|     14.4537           |[0.29,0.41,0.29]|     13.9908|     0.46293
0.3           |        4.52|      14.454           |[0.293,0.415,0.293]|     13.9908|     0.46293
0.4           |        6.57|     16.2868           |[0.17,0.66,0.17]|     16.0268|    0.259958
0.4           |        6.57|      16.287           |[0.172,0.656,0.172]|     16.0268|    0.259958
0.5           |        8.49|     16.9896           |[0.13,0.74,0.13]|     16.7713|    0.218276
0.5           |        8.49|       16.99           |[0.128,0.745,0.128]|     16.7713|    0.218276
0.6           |        9.65|     16.1803           |[0.18,0.64,0.18]|     15.9121|    0.268199
0.6           |        9.65|       16.18           |[0.179,0.643,0.179]|     15.9121|    0.268199
0.7           |       12.72|     18.2776           |[0.03,0.95,0.03]|     18.0866|    0.191055
0.7           |       12.72|      18.278           |[0.026,0.948,0.026]|     18.0866|    0.191055
0.8           |       11.82|     15.0505           |[0.24,0.52,0.24]|     14.6877|    0.362838
0.8           |       11.82|      15.051           |[0.242,0.516,0.242]|     14.6877|    0.362838
0.9           |        16.3|     18.2856           |[0.03,0.95,0.03]|     18.0945|    0.191058
0.9           |        16.3|      18.286           |[0.025,0.95,0.025]|     18.0945|    0.191058
1           |       15.61|     15.8983           |[0.2,0.61,0.2]|     15.6088|    0.289552
1           |       15.61|      15.898           |[0.195,0.61,0.195]|     15.6088|    0.289552

Наименьшее расстояние : 14.3707
При лямбде = 0.2
